IRIS;LIBIRIS;COM;LIBCOM;DEC_PIMP14;DEC_TP6014;DEC_Q114;DEC_MED14;DEC_Q314;DEC_EQ14;DEC_D114;DEC_D214;DEC_D314;DEC_D414;DEC_D614;DEC_D714;DEC_D814;DEC_D914;DEC_RD14;DEC_S80S2014;DEC_GI14;DEC_PTSA14;DEC_PCHO14;DEC_PBEN14;DEC_PPEN14;DEC_PAUT14;note
400880104;Gond;40088;Dax;35,8;45,2;6958;13330;21010;1,1;1044;5308;8196;10764;15862;18728;22828;29064;27,8;19,8;0,4;46,2;5,7;3,8;40,3;4;0
400880105;La Torte-Berre;40088;Dax;53,8;20,6;13552;19386;27778;0,7;7256;11966;14819;16988;22192;25242;30006;37014;5,1;6,3;0,3;52,6;3,2;5,3;34,4;4,5;0
400880106;Haut-Saint-Pierre;40088;Dax;48,4;24,1;12576;18502;24758;0,7;6052;10842;13982;16106;20866;23406;26860;32796;5,4;6,2;0,3;49,5;4;3,2;39;4,3;0
400880107;Saint-Vincent;40088;Dax;54,9;20,8;13552;20692;30576;0,8;6518;11902;15042;17914;23796;27860;34350;47080;7,2;9,4;0,4;43,7;2,9;10,6;35,9;6,9;0
400880108;Saubagnac;40088;Dax;;;12334;19200;27280;0,8;6094;10730;13578;16734;22156;24870;29060;36896;6,1;7,9;0,3;49,3;3,5;4,3;37,8;5,1;0
401920101;Dagas;40192;Mont-de-Marsan;64,2;17,6;15400;22784;30278;0,7;5210;13072;16904;19868;25616;28172;32602;40730;7,8;7,7;0,3;43,1;2,7;4,2;46,5;3,5;0
401920102;Saint-Jean-d'Aout;40192;Mont-de-Marsan;63;17,7;15366;21792;28998;0,6;8438;13092;16902;19258;23900;26896;31116;38314;4,5;6,1;0,3;53,9;2,1;5,1;33,8;5,1;0
401920103;Barbe d'Or;40192;Mont-de-Marsan;;;16764;21650;26556;0,5;12902;15648;17722;20052;23374;25096;28206;32548;2,5;3,1;0,2;56,1;1,9;1,8;36;4,2;0
401920104;Noneres;40192;Mont-de-Marsan;43,9;37,6;8332;15273;23480;1;1552;6406;9724;12736;17902;21290;25530;32430;20,9;16,9;0,4;63,4;4;4,4;24,3;3,9;0
401920105;Saint-Roch;40192;Mont-de-Marsan;45,8;33;9976;16826;24342;0,9;4584;8536;11270;14246;19460;22542;26348;34179;7,5;10,2;0,4;57,6;3,7;5,3;28,4;5;0
401920106;Bourg-Neuf;40192;Mont-de-Marsan;52,9;23,9;12662;18792;26048;0,7;6002;10708;14068;16608;21532;24258;28788;35446;5,9;8,1;0,4;60,4;3,2;6,9;25,4;4,1;0
401920107;Crouste;40192;Mont-de-Marsan;55,1;24,2;12440;18870;26646;0,8;6358;10684;13838;16636;21908;24528;29126;35684;5,6;7,5;0,3;56,5;3,1;5,9;29,7;4,8;0
401920109;Saint-Medard;40192;Mont-de-Marsan;67,8;;17234;23048;29796;0,5;12580;16142;18514;20774;25388;28350;32374;38842;3,1;4;0,3;56,7;1,6;3,5;34,3;3,9;0
401920110;Lacrouts;40192;Mont-de-Marsan;68,7;;18024;22954;30058;0,5;13576;16802;19120;20798;25548;28400;31986;38158;2,8;3,6;0,3;49,8;1,8;3,1;40,5;4,8;0
401920111;Peyrouat;40192;Mont-de-Marsan;44,9;41,1;7188;14684;22232;1;1582;5768;8580;11904;17574;20440;24618;30002;19;17;0,4;62,9;4,4;2,7;27,6;2,4;0
401920112;Beillet;40192;Mont-de-Marsan;71,9;9,9;17654;23118;30174;0,5;12224;16266;18896;21040;25532;28278;32398;39542;3,2;4,2;0,3;58,8;1,9;3,6;31,7;4;0
402790101;Mairie-Albine;40279;Saint-Paul-lès-Dax;51,8;24,3;12432;18386;24748;0,7;6916;10940;13628;16182;20530;23270;26852;32774;4,7;5,9;0,3;48;3,5;2,5;42,4;3,6;0
402790102;Bourg Sud;40279;Saint-Paul-lès-Dax;48,4;29,9;10500;17470;24384;0,8;4502;8900;12240;15064;19642;22434;26260;32604;7,2;9;0,3;42,5;4,3;2,2;47,3;3,7;0
402790103;Lac-La Pince;40279;Saint-Paul-lès-Dax;61,9;11,9;16150;21324;27712;0,5;11610;15060;17262;19510;23342;26068;29618;34796;3;3,7;0,2;50,1;2,9;2;40,7;4,3;0
402790104;Ecarts Nord;40279;Saint-Paul-lès-Dax;;;15006;20504;27622;0,6;9622;13012;16166;18506;22946;26024;29814;38104;4;5,3;0,3;48,9;3,3;6,5;35;6,3;0
402790105;Bourg Est;40279;Saint-Paul-lès-Dax;57,7;18,7;14194;19882;27498;0,7;8610;12498;15274;17554;22442;25522;29804;38798;4,5;6,2;0,3;47;3,1;4,9;37;8;0
403120101;Nord Ouest;40312;Tarnos;65,2;12,8;16138;21640;28236;0,6;11002;15042;17396;19784;23974;26892;30120;36762;3,3;4,1;0,3;52,4;3;4,1;37,4;3,1;0
403120102;Centre 1;40312;Tarnos;65;11,6;16258;21978;28290;0,5;11050;14696;17478;19694;24270;26732;30376;36020;3,3;3,9;0,3;57,6;2,8;4,4;31,5;3,7;0
403120103;Centre 2;40312;Tarnos;57;19,3;13868;19986;26382;0,6;8832;12612;15086;17484;22272;24652;28240;33840;3,8;5;0,3;61,9;3,3;4,5;27,3;3;0
403120104;Centre 3;40312;Tarnos;62,8;16,5;14982;20642;26980;0,6;9306;13484;16270;18720;22868;25228;29018;33954;3,6;4,5;0,3;56,5;3,2;3;33,3;4;0
403120105;Sud;40312;Tarnos;;;12794;19036;25974;0,7;8462;11596;14012;16914;21442;24350;28362;33272;3,9;5,4;0,3;62,4;3,6;3;26,2;4,8;0
410180101;Croix Chevalier 01;41018;Blois;22,8;73,3;2852;7400;12788;1,3;0;1714;3688;5664;9252;11326;14816;20146;;86,4;0,5;63,3;11,3;1;23,5;0,9;0
410180102;Croix Chevalier 02;41018;Blois;;;4004;7992;12682;1,1;4;2746;4760;6604;9610;11438;14234;19492;4873;28,3;0,4;;;;;;0
410180201;Chavy;41018;Blois;58,1;23;13184;20210;26919;0,7;7760;10962;14804;17918;22888;25356;29139;34898;4,5;5,9;0,3;53,5;3,4;1,2;40,2;1,7;0
410180301;Coty 01;41018;Blois;24,2;68,8;3188;8198;14170;1,3;24;1492;4234;6240;9978;12630;15692;19626;817,8;78,7;0,5;;;;;;0
410180302;Coty 02;41018;Blois;37,7;49,2;5470;12394;19774;1,2;1092;4432;7136;9252;15466;17860;21856;27240;24,9;18,8;0,4;52,4;5,9;1,8;37;2,9;0
410180401;Cabochon Quiniere 01;41018;Blois;43,2;40,3;8184;14742;20796;0,9;2682;6468;9752;12138;17276;19322;22508;26686;10;10,7;0,4;51,9;5,4;0,9;40,4;1,4;0
410180402;Cabochon Quiniere 02;41018;Blois;53,8;29,8;10800;18962;28242;0,9;3238;9148;12314;15698;21598;25644;30884;40386;12,5;15,8;0,4;49,5;3,3;4,9;35,9;6,4;0
410180501;Centre ville 01;41018;Blois;53,7;28,7;11248;18949;29610;1;2584;8932;12626;16168;22512;26788;31862;43402;16,8;16;0,4;62,4;3,6;7,3;19,6;7,1;0
410180502;Centre ville 02;41018;Blois;69,2;12,5;17898;25592;35696;0,7;10850;16222;19410;22876;29358;33490;38674;51792;4,8;6,8;0,3;55,3;2,1;7,9;28,1;6,6;0
410180503;Centre ville 03;41018;Blois;66,5;16,9;16176;25410;35416;0,8;8366;13740;18292;21836;28870;33172;38454;49206;5,9;7,9;0,4;55,5;2,7;6;30,2;5,6;0
410180601;Est 01;41018;Blois;68,9;11,8;16096;21528;27926;0,5;10356;14860;17262;19492;23484;25976;30264;36216;3,5;4,2;0,3;58,7;2,1;2,4;33,9;2,9;0
410180602;Est 02;41018;Blois;62;22,6;13162;20828;30658;0,8;5000;10458;14968;18326;24108;28638;32958;40824;8,2;10;0,4;58;3;4,5;30,7;3,8;0
410180701;St-Georges Grouets;41018;Blois;69,9;14,6;15666;24458;35862;0,8;9586;14040;17476;21182;27646;32854;39706;55612;5,8;7,7;0,4;53,1;2,2;9,3;28,3;7,1;0
410180801;Interquartiers;41018;Blois;60,7;20,5;13756;20382;27946;0,7;7418;12012;14848;17984;23006;26018;30512;37308;5;6,2;0,3;55;3,3;3,7;33,4;4,6;0
410180901;Kennedy;41018;Blois;18,4;75,2;2862;6580;12126;1,4;122;1746;3604;4762;8958;10870;13748;18314;150,1;46,4;0,5;55,5;11,5;0,6;31,1;1,3;0
410181001;Pinconniere;41018;Blois;64,3;23;12986;20186;28596;0,8;6976;10978;14880;17896;23182;26216;31026;37062;5,3;6,6;0,3;56,3;3,1;3,3;34,2;3,1;0
410181101;Sarrazines Hautes Saules 01;41018;Blois;60,2;19,1;13946;20268;27980;0,7;8284;12324;15576;18158;23032;26198;29140;34536;4,2;5,3;0,3;35,5;2,9;1,3;57,4;2,9;0
410181102;Sarrazines Hautes Saules 02;41018;Blois;31,4;52,4;5968;10996;16976;1;1178;4560;7428;9798;13690;15462;17992;23246;19,7;16;0,4;;;;;;0
410181201;Vienne 01;41018;Blois;54,2;24,4;12502;19392;26235;0,7;5784;10710;14390;16936;21934;24550;28536;37590;6,5;8;0,3;59,7;3,6;7,2;25,9;3,6;0
410181202;Vienne 02;41018;Blois;57,4;22,5;12850;19278;26256;0,7;6964;11226;14676;16914;21772;24532;28434;35318;5,1;6,4;0,3;63,1;3,1;4,3;26,3;3,2;0
411940101;Romorantin Ouest;41194;Romorantin-Lanthenay;61,8;19,1;14266;20578;26668;0,6;8730;12658;15930;18526;22566;25260;28740;34878;4;5,1;0,3;47,2;3,3;2,6;41,7;5,2;0
411940102;Romorantin Nord;41194;Romorantin-Lanthenay;;;16668;22004;28766;0,5;11622;15306;17638;19998;24422;27030;30148;36682;3,2;4;0,3;54,2;2,5;3,9;35,5;3,9;0
411940103;Hopital;41194;Romorantin-Lanthenay;51;27,5;11274;17864;24674;0,8;5756;9914;12934;15674;20394;23164;26792;33394;5,8;7,7;0,3;53,8;3,3;4,1;33,9;4,9;0
411940104;Centre ville;41194;Romorantin-Lanthenay;45,2;30,6;10070;17412;24728;0,8;2428;7770;11890;14756;19850;22796;27064;37134;15,3;14,3;0,4;46,8;3,3;4,9;39,9;5,1;0
411940105;Faubourg Orl_ans et Paterne;41194;Romorantin-Lanthenay;59,3;16,4;14768;21020;27772;0,6;9234;13378;16288;18607;23108;26094;30042;37652;4,1;5,2;0,3;46,5;2,7;2,1;43,2;5,5;0
411940106;Bourgeau;41194;Romorantin-Lanthenay;48,6;29,8;10541;16922;23270;0,8;4954;9098;12262;14592;18766;21818;25098;31718;6,4;7,9;0,3;50;4,3;3,4;38,8;3,5;0
411940107;Saint-Marc Plaisance;41194;Romorantin-Lanthenay;44,5;42,3;7412;14330;21552;1;2884;5986;8408;11636;17296;19940;23064;28540;9,9;11;0,4;53,7;5,7;1,7;34,8;4,1;0
411940108;Les Favignolles;41194;Romorantin-Lanthenay;;;4060;9824;17372;1,4;342;3448;5136;6928;12546;15706;18940;24056;70,3;27,8;0,4;43,2;8,6;1,2;45,1;1,9;0
411940109;Romorantin Est;41194;Romorantin-Lanthenay;57,7;20,9;13508;19616;25376;0,6;7582;11914;15042;17272;21834;23964;27274;33578;4,4;5,3;0,3;52;3,2;2,4;38,9;3,5;0
412690102;Georges Clemenceau;41269;Vend™me;20,9;66,4;4046;8890;14468;1,2;182;2742;4998;6926;10814;13126;15770;19766;108,6;37,5;0,4;57,1;9,3;0,7;31,7;1,2;0
412690103;Provinces Jean Emond;41269;Vend™me;;;13820;19552;25438;0,6;7598;12348;15214;17426;21396;23790;27090;33878;4,5;6,1;0,3;35,5;2,9;2,6;53,1;5,9;0
412690105;Gerard Yvon;41269;Vend™me;53,2;23,6;12626;19248;27552;0,8;6074;10826;14238;16708;21954;25378;29920;39226;6,5;8,8;0,4;48,1;2,6;6;38,2;5,1;0
412690106;Bernard Hamet;41269;Vend™me;61,4;14;15580;21204;29266;0,6;9220;14450;16966;18740;23920;27482;31774;40792;4,4;5,9;0,3;44,3;2,4;3,8;43,3;6,2;0
412690107;Centre Ville;41269;Vend™me;61,5;20,5;14080;20766;30494;0,8;5874;11918;15526;18058;23718;28226;34730;48190;8,2;10;0,4;47,7;2,8;7,7;32,7;9,1;0
412690108;Sud;41269;Vend™me;56,9;24,5;12410;19334;26234;0,7;6952;10564;14340;16966;21706;24692;28330;34856;5;6,8;0,3;58,5;3,9;4;29,4;4,2;0
412690109;La Tuilerie Courtiras;41269;Vend™me;69,9;10,9;17550;24438;31956;0,6;11842;15872;19144;21534;26958;29526;34674;43100;3,6;5,2;0,3;56,4;2,7;5,5;30;5,4;0
420440101;Centre-Ville-Ouest;42044;Le Chambon-Feugerolles;35,7;37;8394;15022;20156;0,8;4010;7406;9780;12959;16726;18594;21330;24622;6,1;7,7;0,3;41,6;4,4;3,2;48,7;2,1;0
420440102;Centre-Ville-Est;42044;Le Chambon-Feugerolles;35,1;37,4;9064;14670;19938;0,7;4088;7930;10278;12666;16732;18858;21664;25278;6,2;7,6;0,3;44,7;4,6;2;46,6;2,1;0
420440103;Nord;42044;Le Chambon-Feugerolles;42;35,9;9264;15732;20930;0,7;4908;7974;10670;13172;17659;19866;22454;27216;5,5;7;0,3;61,1;4,6;2;29,8;2,5;0
420440201;Zone-Zus;42044;Le Chambon-Feugerolles;;;5728;10484;16424;1;1172;4485;6956;8998;12416;15362;18100;21654;18,5;15,2;0,4;54,6;7,3;2,2;35,1;0,8;0
420440202;Sud-Est;42044;Le Chambon-Feugerolles;56,6;14,7;14608;19676;25456;0,6;9776;13444;15856;17712;22144;24036;26918;32088;3,3;4;0,3;50;2,8;3,3;39,8;4,1;0
420440203;Sud-Ouest;42044;Le Chambon-Feugerolles;52,4;26,6;11748;18302;24457;0,7;6938;10122;13074;16082;20364;22788;25920;30408;4,4;5,6;0,3;63,8;3,2;3,5;27,3;2,2;0
420950101;Centre;42095;Firminy;46,3;32,4;9672;16266;22458;0,8;5146;8502;11214;13958;18776;21074;23922;29584;5,7;7,5;0,3;40,4;3,2;4,6;47,2;4,6;0
420950102;Laprat-Benaud;42095;Firminy;48,3;26,3;12002;17846;24146;0,7;6816;10630;13086;15802;19880;22774;25912;32572;4,8;6,2;0,3;44,5;2,3;2,4;47,1;3,7;0
420950201;Chazeau;42095;Firminy;52,6;22,9;12604;19188;24982;0,6;7320;11369;13536;16588;21162;23968;26696;33986;4,6;5,9;0,3;61,3;3,8;2,9;27,2;4,8;0
420950202;Tardive;42095;Firminy;43;35,6;9340;16040;22032;0,8;4840;8198;10756;13710;18090;20548;23934;28936;6;7,7;0,3;49,5;4,6;0,8;41,4;3,7;0
420950203;Tremollet;42095;Firminy;34,4;44,6;7862;13323;19394;0,9;1658;6116;9300;11296;15586;18166;21084;24796;15;13,3;0,4;44,1;4,5;1,2;47,3;2,9;0
420950204;Firminy-Vert;42095;Firminy;51,4;23,3;13254;19178;26316;0,7;5942;10720;14924;17397;21228;24470;28294;32996;5,6;6,5;0,3;53;3,5;1,4;39,9;2,2;0
420950205;Fayol;42095;Firminy;51,5;23,4;12658;17936;23426;0,6;7146;10912;13778;15864;20066;21918;25250;29558;4,1;5;0,3;55,9;4,2;1,6;36,6;1,7;0
420950301;Abattoir;42095;Firminy;29,9;48,3;6876;12818;19846;1;2136;6120;7686;9798;15404;18136;21408;25790;12,1;13,1;0,4;54;5,7;2,9;34,3;3,1;0
420950302;Bas-Mas;42095;Firminy;45,7;31,6;10852;16186;21670;0,7;5832;9450;11906;14002;17960;20294;23070;26548;4,6;6,1;0,3;49,4;3,8;1,9;40,1;4,8;0
421470101;Estialet Le Bouchet;42147;Montbrison;;;15144;21460;29414;0,7;9578;13270;16540;19170;23868;27080;31396;41082;4,3;6,1;0,3;45,6;2,6;5,1;38,9;7,8;0
421470102;intramuros;42147;Montbrison;40;35,2;9330;14940;21638;0,8;3438;7784;10832;13118;17544;20052;24028;30350;8,8;11;0,4;54,2;5,3;6,3;29,3;4,9;0
421470201;Moingt;42147;Montbrison;60;13,4;15536;21206;28934;0,6;10254;14182;16770;18946;23458;26756;31302;39452;3,8;4,7;0,3;57,5;2,8;4,7;29,5;5,5;0
421470202;Les Purelles;42147;Montbrison;57;17,6;14514;19930;26454;0,6;9272;13108;15598;17546;22156;24724;28940;36340;3,9;5,2;0,3;54,6;3,4;3,9;32,5;5,6;0
421470301;Maupas Survaure;42147;Montbrison;60,2;14,9;15382;21122;27254;0,6;10102;13970;16532;18770;23190;25654;29160;36718;3,6;4,7;0,3;61;2,7;5,1;26,6;4,6;0
421470302;Beauregard;42147;Montbrison;;;7482;12834;19380;0,9;2750;6438;8646;10778;15230;17956;21482;26520;9,6;10,6;0,4;55,8;5,4;1,1;35,7;2;0
421840101;Le Pontet;42184;Riorges;59,4;18,3;14460;19450;26052;0,6;8574;12750;15504;17820;21748;24362;27766;32300;3,8;4,5;0,3;46,4;2,8;1,2;45,7;3,9;0
421840103;Le Marais -Les Canaux;42184;Riorges;57,7;15,9;15262;20110;27006;0,6;9446;13704;16324;18376;22010;25166;29284;38028;4;5,7;0,3;47,2;3;6,3;39;4,5;0
421840104;Les Sables-Les Poup_es-Le Bourg;42184;Riorges;59,1;18,6;13768;19682;27116;0,7;8670;12684;15160;17512;21920;24930;30180;39434;4,5;6,2;0,3;55,6;3,1;5,1;30,4;5,8;0
421840105;Riorges Centre;42184;Riorges;57,3;19,8;13946;20106;25976;0,6;7762;12220;15632;17990;22108;24600;27556;33684;4,3;5,6;0,3;49,9;2,7;2,8;41,3;3,3;0
421840106;Combray-Neubourg-Le Marclet;42184;Riorges;;;13748;20274;29116;0,8;7730;11378;14908;17534;23004;26718;31010;41540;5,4;7,8;0,4;51,7;2,4;10,5;27,4;8;0
421860101;La Roche-Les Flaches;42186;Rive-de-Gier;42,1;31,8;10324;16316;22326;0,7;5412;8812;11730;14136;18416;21068;24064;29126;5,4;6,8;0,3;62,5;4,8;2,1;27,8;2,8;0
421860102;Mouillon-Vernes-Tochissonne;42186;Rive-de-Gier;49,3;26,3;11932;18022;24678;0,7;5818;10614;13056;15300;20176;23302;26166;31976;5,5;6,3;0,3;62,2;4;2,4;28,5;2,9;0
421860103;Centre;42186;Rive-de-Gier;29,7;51,3;6882;11990;17912;0,9;724;5204;7856;10030;14139;16594;19304;23858;33;14,2;0,4;48,3;6,3;1,1;41,6;2,7;0
421860105;Le Grand Pont;42186;Rive-de-Gier;;;6874;12328;18244;0,9;2888;5780;8266;10136;14438;16806;19176;23750;8,2;10,2;0,4;54,6;7,2;0,8;36;1,4;0
421860106;Versant  Sud;42186;Rive-de-Gier;50,2;22,7;12798;18794;25088;0,7;8034;11440;13966;16644;20878;23552;26728;32824;4,1;5,3;0,3;65,9;3,4;2,4;25,1;3,2;0
421870101;Gare;42187;Roanne;56;23,7;12676;19896;28922;0,8;5886;10660;14554;17270;22878;26882;31298;41006;7;9,2;0,4;53,7;3,3;3,9;32,7;6,4;0
421870201;Centre-Ville;42187;Roanne;54,2;20,7;13324;18928;26372;0,7;7032;11914;14556;16980;21530;24528;28458;35996;5,1;6,4;0,3;42,8;2,7;4,3;44,9;5,3;0
421870202;Centre-Ville-Varenne;42187;Roanne;51,3;28,9;10650;18370;26484;0,9;5336;8712;12590;15628;21076;24348;29208;37702;7,1;10,8;0,4;48,3;3;4;36,8;7,9;0
421870302;Fontquentin-Ouest;42187;Roanne;32,5;49,1;6535;12618;18049;0,9;1386;4732;7946;10180;14956;16936;19752;24688;17,8;15,6;0,4;42,6;5,6;1;49,1;1,7;0
421870303;Fontquentin;42187;Roanne;52,5;29,8;10930;17422;23932;0,7;3830;9550;12254;15144;19962;22848;25538;31446;8,2;8,8;0,3;46,7;3,3;1,8;45,5;2,7;0
421870401;Paris;42187;Roanne;49,5;27,6;11092;17544;23926;0,7;4992;9062;12724;15694;19906;22420;25840;32214;6,5;8,3;0,3;46,1;3,7;3,4;42,8;4;0
421870501;Parc-des-Sports;42187;Roanne;32,3;52,8;5136;11424;18166;1,1;0;3264;6360;8848;14378;16824;19842;23938;;37,5;0,4;50,2;6,8;1,1;40,5;1,4;0
421870601;Arsenal;42187;Roanne;;;11286;17892;23944;0,7;5870;9321;12976;15522;19986;22354;25443;30720;5,2;7,3;0,3;54,3;3,7;1,6;38,2;2,2;0
421870602;Matel;42187;Roanne;51,1;27,1;11502;17428;22894;0,7;5886;10176;13174;15310;19406;21608;24676;30472;5,2;6,7;0,3;61,6;3,6;3,1;29,1;2,6;0
421870701;Mulsant-Sud;42187;Roanne;40,3;33,4;9562;15956;22132;0,8;2305;7348;11040;13756;17932;20366;23928;29986;13;13,7;0,4;54,7;5,3;4,5;32,2;3,3;0
421870702;Mulsant-Nord;42187;Roanne;37;34,1;9670;15798;20926;0,7;3990;8086;11186;14076;17490;19562;21984;26944;6,8;8,5;0,3;44,2;4,4;3,1;45,4;2,9;0
421870801;Clermont-Ouest;42187;Roanne;39,2;39,4;7892;14768;20678;0,9;2886;6728;9552;12514;17216;19490;21958;26770;9,3;11,1;0,4;51,5;5,6;3,3;36,3;3,3;0
421870802;Clermont-Est;42187;Roanne;40;31,8;9944;15908;21278;0,7;4752;8564;11324;13876;17820;20044;22748;27786;5,8;7,8;0,3;53,9;4,7;3,3;35,8;2,3;0
421870901;Halage;42187;Roanne;54,5;25,7;12046;18694;25172;0,7;6612;10432;13436;16626;21056;23806;26940;34612;5,2;6,5;0,3;50,6;3,6;3,4;38,1;4,3;0
421871001;Mayollet;42187;Roanne;40,1;45,9;6286;13500;21174;1,1;1649;5266;7856;10192;16248;19474;23220;29070;17,6;21,9;0,5;49,9;5,2;5,2;33,4;6,3;0
421890101;Le-Marais;42189;Roche-la-Molière;56,6;17,9;14587;19900;26346;0,6;9168;12786;15796;17962;22094;24598;28580;34130;3,7;4,8;0,3;57;2,9;4;32,6;3,5;0
421890102;Centre-Ville;42189;Roche-la-Molière;54,2;19,3;13860;19218;25766;0,6;8146;12442;15080;16926;21250;23826;27938;33404;4,1;4,9;0,3;53,3;2,7;2,5;38,4;3,1;0
421890103;La-Roare Les Granges;42189;Roche-la-Molière;56,2;17;14860;20024;26604;0,6;9200;13608;15988;18088;22448;24976;28500;33624;3,7;4,4;0,3;61,1;3,1;2,3;31,8;1,7;0
421890104;Grangeneuve;42189;Roche-la-Molière;55,8;21,6;13230;19224;25550;0,6;7918;11616;14462;17332;21274;23846;27648;33702;4,3;5,6;0,3;65,3;3,2;4,5;23,3;3,7;0
422070101;Lavieu-Clot Marquet;42207;Saint-Chamond;48;32;10310;17226;24444;0,8;5518;8910;11778;14634;20162;22794;26624;33404;6,1;8,1;0,4;58,5;3,9;3,6;29,8;4,2;0
422070102;La-Boucherie;42207;Saint-Chamond;30,5;39,4;8706;14310;19342;0,7;3682;7280;10108;12310;16304;18276;20442;23998;6,5;8;0,3;32,3;3,5;1,2;60,4;2,6;0
422070103;Hypercentre;42207;Saint-Chamond;40,7;40,4;8220;14788;20982;0,9;2906;6914;9474;12020;17136;19724;22468;27416;9,4;10,8;0,4;50,1;4,3;2,9;39,4;3,3;0
422070104;La-Brosse;42207;Saint-Chamond;39,4;37,4;8006;15314;20770;0,8;2466;6940;9534;12794;17462;19524;22536;27782;11,3;11,3;0,4;56,5;5;1;34,9;2,6;0
422070105;La-Gare;42207;Saint-Chamond;48;36,8;8414;16168;23336;0,9;3782;7068;9682;13274;18638;21776;25028;30520;8,1;9,5;0,4;59;3,9;4;30;3,1;0
422070201;Centre-Tonkain;42207;Saint-Chamond;48;33,7;9582;16560;23506;0,8;4952;8044;11116;13854;18816;21902;25426;32704;6,6;8,6;0,4;59;4,2;4,6;28,4;3,8;0
422070202;Chavane-Stelytech;42207;Saint-Chamond;60,3;19,1;14258;20280;27024;0,6;7830;12748;15576;17754;22810;25588;28758;36142;4,6;5,7;0,3;58,7;3;5,3;28,4;4,6;0
422070301;Pavillonnaire;42207;Saint-Chamond;70,4;;17956;22664;28456;0,5;13332;16842;18992;20954;24206;26722;31336;36326;2,7;3,1;0,2;49,7;1,7;2,2;43,7;2,7;0
422070302;Nord;42207;Saint-Chamond;31,5;48,4;7910;12496;18478;0,8;2784;6898;9128;10948;14632;17030;19894;24328;8,7;8,8;0,3;;;;;;0
422070303;Sud;42207;Saint-Chamond;35,8;40,7;8576;14432;19398;0,7;3480;7290;9784;11920;16662;18514;20790;24500;7;7,7;0,3;51,8;5,7;0,6;40,8;1,1;0
422070401;General de Gaulle;42207;Saint-Chamond;64,8;11,4;16564;22824;30836;0,6;11218;15154;17854;20438;25644;28694;33366;43372;3,9;5,1;0,3;57,4;2,4;6,4;28,5;5,3;0
422070402;Bourg Pilat Coin;42207;Saint-Chamond;54;20,2;13596;19594;27830;0,7;7900;11963;14622;17148;22502;25914;30630;38184;4,8;6,5;0,3;61,1;3,3;6,4;24,2;5;0
422070501;Bourg-Giat;42207;Saint-Chamond;;;8430;15404;21628;0,9;3828;7016;10090;13154;17108;19942;22818;27506;7,2;8,6;0,3;58,8;4,3;2,1;32,5;2,3;0
422070502;Le-Creux Petit-Gaudet;42207;Saint-Chamond;45,2;35,5;9290;15810;21226;0,8;4694;7916;10652;13494;18250;20360;22978;27450;5,8;7,1;0,3;60;5,4;1,8;30,4;2,4;0
422070503;Joannon Pepiniere;42207;Saint-Chamond;47,4;28,9;11400;17420;22778;0,7;5846;10062;12472;14738;19164;21486;24980;29638;5,1;5,8;0,3;61,8;4,4;1,9;30;1,9;0
422070504;Chabane Philippiere;42207;Saint-Chamond;64,7;12,6;16052;21970;29112;0,6;10892;14600;17182;19576;24206;27314;31380;37698;3,5;4,8;0,3;57;2,5;6,2;28,3;6;0
422180101;Republique;42218;Saint-ƒtienne;52,6;30,5;9776;19636;32604;1,2;4170;8136;11988;15998;24262;29970;36671;49422;11,9;16,2;0,4;53,2;3,1;9,3;27,6;6,8;0
422180102;Peuple-Boivin-St Jacques;42218;Saint-ƒtienne;44,4;38,1;7754;16448;26051;1,1;2314;6388;9226;12808;19782;23720;29160;37406;16,2;17,7;0,4;59,3;4,7;7,1;22,8;6,1;0
422180103;Hotel-de-Ville;42218;Saint-ƒtienne;55,9;28,2;10930;21218;33558;1,1;4858;9128;13086;17460;25482;30258;37476;50810;10,5;13,8;0,4;62,5;2,9;9,1;20,2;5,3;0
422180104;Marengo;42218;Saint-ƒtienne;51,7;33,3;8808;18296;29594;1,1;2500;6502;10710;14930;21776;26214;32736;45100;18;23,2;0,5;56,8;3,5;6,7;25,7;7,3;0
422180201;Elisee Reclus;42218;Saint-ƒtienne;44,2;41,2;7274;15662;24026;1,1;1792;5639;8640;12034;18540;21568;26434;34426;19,2;21,8;0,4;55;4,9;5,1;31,3;3,7;0
422180202;Jacquard;42218;Saint-ƒtienne;50;33,2;9786;17088;25252;0,9;4696;8358;11150;14228;20018;23278;27286;34662;7,4;9,5;0,4;58,3;3,9;2,4;33;2,4;0
422180203;Camelinat;42218;Saint-ƒtienne;43,9;39;8056;15166;22034;0,9;1050;5832;9588;12574;17946;20618;23866;30572;29,1;17,5;0,4;60,6;4,7;2,9;28,7;3,1;0
422180204;Prefecture;42218;Saint-ƒtienne;56,1;31;10154;19081;28768;1;3646;8502;11792;15310;22494;26538;30950;39926;11;13,3;0,4;62,2;3,5;5,5;23,2;5,6;0
422180301;Cret de Roc Ouest;42218;Saint-ƒtienne;42,5;43,7;6328;13838;22340;1,2;748;4870;8516;11228;17352;20690;24158;30240;40,4;24,3;0,4;56,6;4,8;3,3;31,6;3,7;0
422180302;Cret de Roc Est;42218;Saint-ƒtienne;35,2;51,2;6358;11808;19416;1,1;922;4460;7392;9168;14350;17924;21168;26978;29,3;22,1;0,4;61,3;5,3;3,1;27,1;3,2;0
